cell_type	putative_driver_count	mean_abs_cnv_score
Neutrophils	0	0.05548467964420849
Pancreatic cells	0	0.05378360384460899
Liver cells	0	0.07561841490706839
Pancreatic cells	1	0.05455053916065211
Pancreatic cells	1	0.06427491728853639
Liver cells	0	0.07498450204974984
Liver cells	0	0.057109977813692626
Pancreatic cells	1	0.06905192514358283
Pancreatic cells	1	0.03678565256109587
Pancreatic cells	2	0.06616374384212867
Pancreatic cells	1	0.05338028542473684
Pancreatic cells	1	0.06660744275718525
Pancreatic cells	1	0.0621058598464845
Pancreatic cells	3	0.052423659989368133
Liver cells	0	0.0636615914213344
Pancreatic cells	2	0.058944876908704494
Pancreatic cells	1	0.05820193684291985
Pancreatic cells	0	0.06120717544756957
Pancreatic cells	0	0.062190328964908316
Pancreatic cells	1	0.07027492061957201
Pancreatic cells	0	0.05579408467368256
Pancreatic cells	0	0.046465999528155215
Neutrophils	0	0.05783497105904574
Pancreatic cells	0	0.06644948412479144
Liver cells	1	0.041334085889328145
Liver cells	1	0.05293776098105115
Pancreatic cells	0	0.046482194588233945
Pancreatic cells	0	0.0679946205975633
Pancreatic cells	1	0.060487259323038056
Pancreatic cells	3	0.04586498742791483
Neutrophils	1	0.06254207738356
Liver cells	0	0.07366746997292176
Pancreatic cells	3	0.04962477755328224
Liver cells	0	0.05426474457792197
Liver cells	1	0.0735934428931148
Pancreatic cells	6	0.05567308512116067
Neutrophils	0	0.04863512484820083
Pancreatic cells	1	0.06316856604986668
Liver cells	3	0.08920539050632956
Pancreatic cells	1	0.0552532147771658
Pancreatic cells	0	0.07679075531707467
Neutrophils	2	0.060007405508351826
Neutrophils	0	0.047745735778870486
Pancreatic cells	2	0.05269181850025784
Pancreatic cells	4	0.06353927727421073
Liver cells	3	0.0598997755988505
Neutrophils	1	0.0524480964714159
Liver cells	0	0.06336836867481717
Pancreatic cells	2	0.0684674971799941
Pancreatic cells	0	0.05558836892855752
Liver cells	1	0.05592030497848493
Pancreatic cells	2	0.05226394895585511
Pancreatic cells	1	0.0555121981294021
Fibroblasts	1	0.042743993037774305
Pancreatic cells	0	0.0486569819130214
Pancreatic cells	0	0.06606824332573388
Pancreatic cells	1	0.05568110950517417
Neutrophils	0	0.06602619183001426
Liver cells	0	0.06144386622459482
Pancreatic cells	0	0.04705243149633162
Pancreatic cells	3	0.05787438996907005
Neutrophils	0	0.06172209790299232
Pancreatic cells	1	0.05816710892470389
Pancreatic cells	1	0.04014343950869493
Neutrophils	0	0.0559963078124035
Fibroblasts	4	0.062097364121759875
Pancreatic cells	2	0.068305077115785
Pancreatic cells	3	0.056684473608980324
Liver cells	0	0.06682650087088743
Pancreatic cells	0	0.06319107993306551
Liver cells	1	0.06997985687490704
Liver cells	1	0.07041267099925849
Neutrophils	2	0.053604877258211205
Liver cells	2	0.06381108175038713
Pancreatic cells	1	0.03853488634489076
Pancreatic cells	3	0.04531417372156202
Liver cells	1	0.08285231394764382
Neutrophils	1	0.060499866301339335
Pancreatic cells	1	0.05578963013796407
Pancreatic cells	1	0.09330966278746701
Liver cells	0	0.04560252654344412
Pancreatic cells	0	0.05718401657986094
Pancreatic cells	0	0.0468548722218932
Pancreatic cells	1	0.0729069361202974
Liver cells	1	0.06499756287218801
Fibroblasts	5	0.05815390095132469
Liver cells	1	0.05223045597798536
Pancreatic cells	0	0.05735156515317608
Liver cells	2	0.049843606564237156
Liver cells	1	0.06359546792665628
Pancreatic cells	3	0.059708009386327
Pancreatic cells	2	0.06369447197613055
Pancreatic cells	0	0.04118196037482635
Neutrophils	0	0.05600801024214447
Pancreatic cells	0	0.04907065258921497
Pancreatic cells	6	0.049347656952335915
Pancreatic cells	1	0.04329225230424105
Neutrophils	0	0.04731973226395538
Pancreatic cells	9	0.06361216881062061
Pancreatic cells	3	0.08808765555874862
Pancreatic cells	0	0.06926208378735932
Liver cells	3	0.04302966598426581
Liver cells	3	0.05600961247382511
Pancreatic cells	1	0.05246885227135621
Pancreatic cells	0	0.04614389497607134
Pancreatic cells	0	0.0841036278792099
Pancreatic cells	0	0.045433777434173296
Pancreatic cells	0	0.04821254165171065
Neutrophils	0	0.051539728593813665
