SRR7666571	PT089_P9_C10_S130
SRR7666572	PT089_P9_C11_S131
SRR7666573	PT089_P9_C12_S132
SRR7666574	PT089_P9_D01_S133
SRR7666575	PT089_P9_D02_S134
SRR7666576	PT089_P9_D03_S135
SRR7666577	PT089_P9_D04_S136
SRR7666578	PT089_P9_D05_S137
SRR7666579	PT089_P9_D06_S138
SRR7666580	PT089_P9_D07_S139
SRR7666581	PT089_P9_D08_S140
SRR7666582	PT089_P9_D09_S141
SRR7666583	PT089_P9_D10_S142
SRR7666584	PT089_P9_D11_S143
SRR7666586	PT089_P9_E01_S145
SRR7666587	PT089_P9_E02_S146
SRR7666588	PT089_P9_E03_S147
SRR7666589	PT089_P9_E04_S148
SRR7666590	PT089_P9_E05_S149
SRR7666591	PT089_P9_E06_S150
SRR7666592	PT089_P9_E07_S151
SRR7666593	PT089_P9_E08_S152
SRR7666594	PT089_P9_E09_S153
SRR7666595	PT089_P9_E10_S154
SRR7666596	PT089_P9_E11_S155
SRR7666597	PT089_P9_E12_S156
SRR7666598	PT089_P9_F01_S157
SRR7666599	PT089_P9_F02_S158
SRR7666600	PT089_P9_F03_S159
SRR7666601	PT089_P9_F04_S160
SRR7666602	PT089_P9_F05_S161
SRR7666603	PT089_P9_F06_S162
SRR7666604	PT089_P9_F07_S163
SRR7666605	PT089_P9_F08_S164
SRR7666606	PT089_P9_F09_S165
SRR7666607	PT089_P9_F11_S167
SRR7666608	PT089_P9_G01_S169
SRR7666609	PT089_P9_G02_S170
SRR7666610	PT089_P9_G03_S171
SRR7666611	PT089_P9_G04_S172
SRR7666612	PT089_P9_G05_S173
SRR7666613	PT089_P9_G06_S174
SRR7666614	PT089_P9_G07_S175
SRR7666615	PT089_P9_G08_S176
SRR7666616	PT089_P9_G09_S177
SRR7666617	PT089_P9_G10_S178
SRR7666619	PT089_P9_G12_S180
SRR7666620	PT089_P9_H01_S181
SRR7666621	PT089_P9_H02_S182
SRR7666622	PT089_P9_H03_S183
SRR7666623	PT089_P9_H04_S184
SRR7666624	PT089_P9_H05_S185
SRR7666625	PT089_P9_H06_S186
SRR7666626	PT089_P9_H07_S187
SRR7666627	PT089_P9_H08_S188
SRR7666628	PT089_P9_H09_S189
SRR7666629	PT089_P9_H10_S190
SRR7666630	PT089_P9_H11_S191
SRR7666631	PT089_P9_H12_S192
SRR7666632	PT039_P11_A01_S1
SRR7666633	PT039_P11_A02_S2
SRR7666634	PT039_P11_A03_S3
SRR7666635	PT039_P11_A04_S4
SRR7666636	PT039_P11_A06_S6
SRR7666640	PT039_P11_A12_S12
SRR7666641	PT039_P11_B02_S14
SRR7666643	PT039_P11_B04_S16
SRR7666644	PT039_P11_B05_S17
SRR7666645	PT039_P11_B06_S18
SRR7666646	PT039_P11_B07_S19
SRR7666647	PT039_P11_B08_S20
SRR7666648	PT039_P11_B09_S21
SRR7666649	PT039_P11_B10_S22
SRR7666650	PT039_P11_B11_S23
SRR7666651	PT039_P11_C03_S27
SRR7666652	PT039_P11_C05_S29
SRR7666653	PT039_P11_C06_S30
SRR7666654	PT039_P11_C07_S31
SRR7666655	PT039_P11_C09_S33
SRR7666656	PT039_P11_C11_S35
SRR7666657	PT039_P11_C12_S36
SRR7666658	PT039_P11_D01_S37
SRR7666661	PT039_P11_D04_S40
SRR7666662	PT039_P11_D05_S41
SRR7666663	PT039_P11_D07_S43
SRR7666664	PT039_P11_D08_S44
SRR7666666	PT039_P11_D10_S46
SRR7666667	PT039_P11_D12_S48
SRR7666668	PT039_P11_E01_S49
SRR7666669	PT039_P11_E02_S50
SRR7666671	PT039_P11_E04_S52
SRR7666672	PT039_P11_E05_S53
SRR7666673	PT039_P11_E06_S54
SRR7666674	PT039_P11_E09_S57
SRR7666675	PT039_P11_E11_S59
SRR7666679	PT039_P11_F03_S63
SRR7666681	PT039_P11_F06_S66
SRR7666682	PT039_P11_F07_S67
SRR7666683	PT039_P11_F10_S70
SRR7666684	PT039_P11_F11_S71
SRR7666685	PT039_P11_F12_S72
SRR7666688	PT039_P11_G03_S75
SRR7666689	PT039_P11_G04_S76
SRR7666691	PT039_P11_G07_S79
SRR7666692	PT039_P11_G08_S80
SRR7666693	PT039_P11_G09_S81
SRR7666694	PT039_P11_G10_S82
SRR7666695	PT039_P11_G12_S84
SRR7666697	PT039_P11_H02_S86
SRR7666698	PT039_P11_H03_S87
SRR7666699	PT039_P11_H04_S88
SRR7666700	PT039_P11_H06_S90
SRR7666701	PT039_P11_H07_S91
SRR7666703	PT039_P11_H10_S94
SRR7666704	PT039_P11_H12_S96
SRR7666705	PT039_P1_A01
SRR7666706	PT039_P1_A02
SRR7666707	PT039_P1_A03
SRR7666708	PT039_P1_A04
SRR7666709	PT039_P1_A05
SRR7666710	PT039_P1_A06
SRR7666711	PT039_P1_A07
SRR7666712	PT039_P1_A08
SRR7666713	PT039_P1_A09
SRR7666714	PT039_P1_A10
SRR7666715	PT039_P1_A11
SRR7666716	PT039_P1_A12
SRR7666717	PT039_P1_B01
SRR7666718	PT039_P1_B02
SRR7666719	PT039_P1_B03
SRR7666720	PT039_P1_B04
SRR7666721	PT039_P1_B05
SRR7666722	PT039_P1_B06
SRR7666723	PT039_P1_B07
SRR7666724	PT039_P1_B08
SRR7666725	PT039_P1_B09
SRR7666726	PT039_P1_B10
SRR7666727	PT039_P1_B11
SRR7666728	PT039_P1_B12
SRR7666729	PT039_P1_C01
SRR7666730	PT039_P1_C02
SRR7666731	PT039_P1_C03
SRR7666732	PT039_P1_C04
SRR7666733	PT039_P1_C05
SRR7666734	PT039_P1_C06
SRR7666735	PT039_P1_C07
SRR7666736	PT039_P1_C08
SRR7666737	PT039_P1_C09
SRR7666738	PT039_P1_C10
SRR7666739	PT039_P1_C11
SRR7666740	PT039_P1_C12
SRR7666741	PT039_P1_D01
SRR7666742	PT039_P1_D02
SRR7666743	PT039_P1_D03
SRR7666744	PT039_P1_D04
SRR7666745	PT039_P1_D05
SRR7666746	PT039_P1_D06
SRR7666747	PT039_P1_D07
SRR7666748	PT039_P1_D08
SRR7666749	PT039_P1_D09
SRR7666750	PT039_P1_D10
SRR7666751	PT039_P1_D11
SRR7666752	PT039_P1_D12
SRR7666753	PT039_P1_E01
SRR7666754	PT039_P1_E02
SRR7666755	PT039_P1_E03
SRR7666756	PT039_P1_E04
SRR7666757	PT039_P1_E05
SRR7666758	PT039_P1_E06
SRR7666759	PT039_P1_E07
SRR7666760	PT039_P1_E08
SRR7666761	PT039_P1_E09
SRR7666762	PT039_P1_E10
SRR7666763	PT039_P1_E11
SRR7666764	PT039_P1_F01
SRR7666765	PT039_P1_F02
SRR7666766	PT039_P1_F03
SRR7666767	PT039_P1_F04
SRR7666768	PT039_P1_F05
SRR7666769	PT039_P1_F06
SRR7666770	PT039_P1_F07
SRR7666771	PT039_P1_F08
SRR7666772	PT039_P1_F09
SRR7666773	PT039_P1_F10
SRR7666774	PT058_P1_A01
SRR7666775	PT058_P1_A02
SRR7666776	PT058_P1_A04
SRR7666778	PT058_P1_A06
SRR7666779	PT058_P1_A07
SRR7666782	PT058_P1_A11
SRR7666787	PT058_P1_B06
SRR7666788	PT058_P1_B08
SRR7666789	PT058_P1_B09
SRR7666790	PT058_P1_B10
SRR7666792	PT058_P1_C01
SRR7666793	PT058_P1_C02
SRR7666794	PT058_P1_C04
SRR7666795	PT058_P1_C05
SRR7666796	PT058_P1_C06
SRR7666797	PT058_P1_C07
SRR7666799	PT058_P1_C09
SRR7666800	PT058_P1_C10
SRR7666801	PT058_P1_C11
SRR7666803	PT058_P1_D02
SRR7666804	PT058_P1_D03
SRR7666805	PT058_P1_D04
SRR7666806	PT058_P1_D05
SRR7666808	PT058_P1_D07
SRR7666809	PT058_P1_D09
SRR7666811	PT058_P1_D12
SRR7666812	PT058_P1_E01
SRR7666813	PT058_P1_E02
SRR7666815	PT058_P1_E04
SRR7666816	PT058_P1_E05
SRR7666817	PT058_P1_E06
SRR7666818	PT058_P1_E07
SRR7666820	PT058_P1_E09
SRR7666821	PT058_P1_E10
SRR7666822	PT058_P1_E11
SRR7666823	PT058_P1_E12
SRR7666824	PT058_P1_F01
SRR7666825	PT058_P1_F02
SRR7666826	PT058_P1_F04
SRR7666827	PT058_P1_F07
SRR7666829	PT058_P1_F09
SRR7666831	PT058_P1_F11
SRR7666833	PT058_P1_G01
SRR7666834	PT058_P1_G02
SRR7666835	PT058_P1_G03
SRR7666838	PT058_P1_G07
SRR7666839	PT058_P1_G08
SRR7666840	PT058_P1_G10
SRR7666842	PT058_P1_H01
SRR7666843	PT058_P1_H02
SRR7666844	PT058_P1_H03
SRR7666845	PT058_P1_H04
SRR7666846	PT058_P1_H05
SRR7666847	PT058_P1_H06
SRR7666848	PT058_P1_H07
SRR7666849	PT058_P1_H08
SRR7666850	PT058_P1_H11
SRR7666851	PT058_P1_H12
SRR7666852	PT081_P1_A01
SRR7666853	PT081_P1_A02
SRR7666855	PT081_P1_A05
SRR7666858	PT081_P1_A08
SRR7666859	PT081_P1_A09
SRR7666860	PT081_P1_A10
SRR7666861	PT081_P1_A12
SRR7666862	PT081_P1_B01
SRR7666863	PT081_P1_B02
SRR7666864	PT081_P1_B03
SRR7666865	PT081_P1_B04
SRR7666866	PT081_P1_B05
SRR7666867	PT081_P1_B06
SRR7666868	PT081_P1_B07
SRR7666869	PT081_P1_B08
SRR7666870	PT081_P1_B10
SRR7666871	PT081_P1_B11
SRR7666872	PT081_P1_B12
SRR7666873	PT081_P1_C01
SRR7666874	PT081_P1_C02
SRR7666875	PT081_P1_C03
SRR7666876	PT081_P1_C04
SRR7666878	PT081_P1_C06
SRR7666880	PT081_P1_C08
SRR7666881	PT081_P1_C09
SRR7666882	PT081_P1_C11
SRR7666883	PT081_P1_C12
SRR7666884	PT081_P1_D01
SRR7666885	PT081_P1_D02
SRR7666887	PT081_P1_D04
SRR7666889	PT081_P1_D06
SRR7666891	PT081_P1_D08
SRR7666892	PT081_P1_D09
SRR7666893	PT081_P1_D10
SRR7666894	PT081_P1_D12
SRR7666895	PT081_P1_E01
SRR7666896	PT081_P1_E02
SRR7666897	PT081_P1_E03
SRR7666898	PT081_P1_E04
SRR7666899	PT081_P1_E05
SRR7666900	PT081_P1_E06
SRR7666901	PT081_P1_E07
SRR7666903	PT081_P1_E10
SRR7666904	PT081_P1_E11
SRR7666905	PT081_P1_E12
SRR7666906	PT081_P1_F01
SRR7666907	PT081_P1_F02
SRR7666908	PT081_P1_F03
SRR7666909	PT081_P1_F04
SRR7666910	PT081_P1_F05
SRR7666911	PT081_P1_F06
SRR7666912	PT081_P1_F07
SRR7666913	PT081_P1_F08
SRR7666914	PT081_P1_F11
SRR7666915	PT081_P1_F12
SRR7666916	PT081_P1_G01
SRR7666917	PT081_P1_G02
SRR7666918	PT081_P1_G03
SRR7666919	PT081_P1_G04
SRR7666920	PT081_P1_G05
SRR7666921	PT081_P1_G06
SRR7666922	PT081_P1_G07
SRR7666923	PT081_P1_G08
SRR7666924	PT081_P1_G10
SRR7666925	PT081_P1_G11
SRR7666926	PT081_P1_H01
SRR7666928	PT081_P1_H04
SRR7666929	PT081_P1_H06
SRR7666931	PT081_P1_H08
SRR7666932	PT081_P1_H10
SRR7666936	PT081_P3_A03_S195
SRR7666937	PT081_P3_A04_S196
SRR7666940	PT081_P3_A11_S203
SRR7666941	PT081_P3_A12_S204
SRR7666942	PT081_P3_B01_S205
