SRR5861232	col39l3_37
SRR5861233	col39l3_40
SRR5861234	col39l3_39
SRR5861235	col39l3_34
SRR5861236	col39l3_33
SRR5861237	col39l3_36
SRR5861238	col39l3_35
SRR5861239	col38l_19
SRR5861240	col38l_18
SRR5861241	col38l_60
SRR5861242	col38l_61
SRR5861243	col38l_62
SRR5861244	col38l_63
SRR5861245	col38l_64
SRR5861246	col38l_65
SRR5861247	col38l_66
SRR5861248	col38l_67
SRR5861249	col38l_68
SRR5861250	col38l_69
SRR5861251	col40l_23
SRR5861252	col40l_22
SRR5861253	col40l_25
SRR5861254	col40l_24
SRR5861255	col40l_19
SRR5861256	col40l_18
SRR5861257	col40l_21
SRR5861258	col40l_20
SRR5861259	col40l_27
SRR5861260	col40l_26
SRR5861261	col36l_24
SRR5861262	col36l_23
SRR5861263	col36l_22
SRR5861264	col36l_21
SRR5861265	col36l_28
SRR5861266	col36l_27
SRR5861267	col36l_26
SRR5861268	col36l_25
SRR5861269	col36l_30
SRR5861270	col36l_29
SRR5861271	col39l2_38
SRR5861272	col39l2_37
SRR5861273	col39l2_40
SRR5861274	col39l2_39
SRR5861275	col39l2_42
SRR5861276	col39l2_41
SRR5861277	col39l2_44
SRR5861278	col39l2_43
SRR5861279	col39l2_46
SRR5861280	col39l2_45
SRR5861281	col39l3_47
SRR5861282	col39l3_48
SRR5861283	col39l3_49
SRR5861284	col39l3_50
SRR5861285	col39l3_43
SRR5861286	col39l3_44
SRR5861287	col39l3_45
SRR5861288	col39l3_46
SRR5861289	col38l_28
SRR5861290	col38l_29
SRR5861291	col39l3_51
SRR5861292	col39l3_52
SRR5861293	col39l1_85
SRR5861294	col39l1_84
SRR5861295	col39l1_87
SRR5861296	col39l1_86
SRR5861297	col39l1_89
SRR5861298	col39l1_88
SRR5861299	col39l1_91
SRR5861300	col39l1_90
SRR5861301	col39l1_93
SRR5861302	col39l1_92
SRR5861303	col44l1_17
SRR5861304	col44l1_16
SRR5861305	col44l1_9
SRR5861306	col44l1_8
SRR5861307	col44l1_11
SRR5861308	col44l1_10
SRR5861309	col44l1_13
SRR5861310	col44l1_12
SRR5861311	col44l1_15
SRR5861312	col44l1_14
SRR5861313	col39l1_73
SRR5861314	col39l1_72
SRR5861315	col39l1_67
SRR5861316	col39l1_66
SRR5861317	col39l1_65
SRR5861318	col39l1_64
SRR5861319	col39l1_71
SRR5861320	col39l1_70
SRR5861321	col39l1_69
SRR5861322	col39l1_68
SRR5861323	col40l_16
SRR5861324	col40l_17
SRR5861325	col40l_12
SRR5861326	col40l_13
SRR5861327	col40l_14
SRR5861328	col40l_15
SRR5861329	col40l_8
SRR5861330	col40l_9
SRR5861331	col40l_10
SRR5861332	col40l_11
SRR5861333	col38l_8
SRR5861334	col38l_9
SRR5861335	col36l_71
SRR5861336	col38l_1
SRR5861337	col38l_2
SRR5861338	col38l_3
SRR5861339	col38l_4
SRR5861340	col38l_5
SRR5861341	col38l_6
SRR5861342	col38l_7
SRR5861343	col36l_9
SRR5861344	col36l_10
SRR5861345	col38l_42
SRR5861346	col38l_43
SRR5861347	col39l2_55
SRR5861348	col39l2_56
SRR5861349	col38l_41
SRR5861350	col39l2_47
SRR5861351	col39l2_48
SRR5861352	col39l2_49
SRR5861353	col39l2_50
SRR5861354	col39l2_51
SRR5861355	col39l2_52
SRR5861356	col39l2_53
SRR5861357	col39l2_54
SRR5861358	col36l_8
SRR5861359	col36l_5
SRR5861360	col36l_6
SRR5861361	col38l_59
SRR5861362	col38l_58
SRR5861363	col38l_57
SRR5861364	col38l_56
SRR5861365	col38l_55
SRR5861366	col38l_54
SRR5861367	col38l_53
SRR5861368	col38l_52
SRR5861369	col38l_51
SRR5861370	col38l_50
SRR5861371	col40l_48
SRR5861372	col40l_49
SRR5861373	col40l_50
SRR5861374	col44l1_1
SRR5861375	col44l1_2
SRR5861376	col44l1_3
SRR5861377	col44l1_4
SRR5861378	col44l1_5
SRR5861379	col44l1_6
SRR5861380	col44l1_7
SRR5861381	col36l_39
SRR5861382	col36l_40
SRR5861383	col36l_35
SRR5861384	col36l_36
SRR5861385	col36l_37
SRR5861386	col36l_38
SRR5861387	col36l_31
SRR5861388	col36l_32
SRR5861389	col36l_33
SRR5861390	col36l_34
SRR5861391	col39l3_56
SRR5861392	col39l3_55
SRR5861393	col39l3_54
SRR5861394	col39l3_53
SRR5861395	col39l3_60
SRR5861396	col39l3_59
SRR5861397	col39l3_58
SRR5861398	col39l3_57
SRR5867463	col45l8_1
SRR5867464	col45l8_2
SRR5867465	col48l6_36
SRR5867466	col48l6_37
SRR5867467	col48l6_38
SRR5867468	col48l6_39
SRR5867469	col48l6_32
SRR5867470	col48l6_33
SRR5867471	col48l6_34
SRR5867472	col48l6_35
SRR5867473	col48l6_40
SRR5867474	col48l6_41
SRR5867475	col48l6_23
SRR5867476	col45l2_88
SRR5867477	col48l6_25
SRR5867478	col48l6_24
SRR5867479	col48l6_27
SRR5867480	col48l6_26
SRR5867481	col48l6_29
SRR5867482	col48l6_28
SRR5867483	col45l2_79
SRR5867484	col48l6_30
SRR5867485	col45l2_81
SRR5867486	col45l2_82
SRR5867487	col45l2_83
SRR5867488	col45l2_84
SRR5867489	col45l2_85
SRR5867490	col45l2_86
SRR5867491	col44l8_22
SRR5867492	col44l8_21
SRR5867493	col44l7_94
SRR5867494	col44l7_93
SRR5867495	col44l7_96
SRR5867496	col44l7_95
SRR5867497	col44l8_18
SRR5867498	col44l8_17
SRR5867499	col44l8_20
SRR5867500	col44l8_19
SRR5867501	col44l8_87
SRR5867502	col44l8_88
SRR5867503	col44l8_85
SRR5867504	col44l8_86
SRR5867505	col44l8_91
SRR5867506	col44l8_92
SRR5867507	col44l8_89
SRR5867508	col44l8_90
SRR5867509	col44l8_93
SRR5867510	col44l8_94
SRR5867511	col44l8_73
SRR5867512	col44l8_74
SRR5867513	col44l8_69
SRR5867514	col44l8_70
SRR5867515	col44l8_71
SRR5867516	col44l8_72
SRR5867517	col44l8_65
SRR5867518	col44l8_66
SRR5867519	col44l8_67
SRR5867520	col44l8_68
SRR5867521	col44l2_36
SRR5867522	col44l2_35
SRR5867523	col44l2_32
SRR5867524	col44l2_31
SRR5867525	col44l2_34
SRR5867526	col44l2_33
SRR5867527	col44l2_28
SRR5867528	col44l2_27
SRR5867529	col44l2_30
SRR5867530	col44l2_29
SRR5867531	col45l8_14
SRR5867532	col45l8_13
SRR5867533	col45l8_12
SRR5867534	col45l8_11
SRR5867535	col45l8_36
SRR5867536	col45l8_35
SRR5867537	col45l8_16
SRR5867538	col45l8_15
SRR5867539	col47l7_27
SRR5867540	col47l7_26
SRR5867541	col48l6_91
SRR5867542	col48l6_90
SRR5867543	col48l6_89
SRR5867544	col48l6_88
SRR5867545	col48l6_87
SRR5867546	col48l6_86
SRR5867547	col48l6_85
SRR5867548	col48l6_84
SRR5867549	col48l6_83
SRR5867550	col48l6_82
SRR5867551	col47l7_66
SRR5867552	col48l6_1
SRR5867553	col47l7_58
SRR5867554	col47l7_59
SRR5867555	col47l7_60
SRR5867556	col47l7_61
SRR5867557	col47l7_62
SRR5867558	col47l7_63
SRR5867559	col47l7_64
SRR5867560	col47l7_65
SRR5867561	col44l8_23
SRR5867562	col44l8_24
SRR5867563	col44l1_54
SRR5867564	col44l8_26
SRR5867565	col44l8_27
SRR5867566	col44l8_28
SRR5867567	col44l8_29
SRR5867568	col44l8_30
SRR5867569	col44l8_31
SRR5867570	col44l8_32
SRR5867571	col44l1_82
SRR5867572	col44l1_81
SRR5867573	col44l1_84
SRR5867574	col44l1_83
SRR5867575	col44l1_86
SRR5867576	col44l1_85
SRR5867577	col44l1_88
SRR5867578	col44l1_87
SRR5867579	col44l1_90
SRR5867580	col44l1_89
SRR5867581	col48l6_45
SRR5867582	col48l6_44
SRR5867583	col47l7_56
SRR5867584	col47l7_57
SRR5867585	col48l6_49
SRR5867586	col48l6_48
SRR5867587	col48l6_47
SRR5867588	col48l6_46
SRR5867589	col47l7_50
SRR5867590	col47l7_51
SRR5867591	col48l6_51
SRR5867592	col48l6_50
SRR5867593	col47l7_54
SRR5867594	col47l7_55
SRR5867595	col47l7_52
SRR5867596	col47l7_53
SRR5867597	col45l2_76
SRR5867598	col45l2_75
SRR5867599	col45l2_74
SRR5867600	col45l2_73
SRR5867601	col45l2_72
SRR5867602	col45l2_71
SRR5867603	col45l2_70
SRR5867604	col45l2_69
SRR5867605	col45l2_78
SRR5867606	col45l2_77
SRR5867607	col44l8_76
SRR5867608	col45l2_87
SRR5867609	col48l6_22
SRR5867610	col44l8_96
SRR5867611	col44l8_95
SRR5867612	col45l2_42
SRR5867613	col45l2_41
SRR5867614	col45l2_44
SRR5867615	col45l2_43
SRR5867616	col45l2_46
SRR5867617	col45l2_45
SRR5867618	col45l2_48
SRR5867619	col45l2_47
SRR5867620	col44l7_76
SRR5867621	col44l7_75
SRR5867622	col44l7_74
SRR5867623	col44l7_73
SRR5867624	col44l7_80
SRR5867625	col44l7_79
SRR5867626	col44l7_78
SRR5867627	col44l7_77
SRR5867628	col44l7_82
SRR5867629	col44l7_81
SRR5867630	col44l8_84
SRR5867631	col44l8_83
SRR5867632	col48l6_31
SRR5867633	col44l8_78
SRR5867634	col44l8_77
SRR5867635	col45l2_80
SRR5867636	col44l8_75
SRR5867637	col44l8_82
SRR5867638	col44l8_81
SRR5867639	col44l8_80
SRR5867640	col44l8_79
SRR5867641	col44l1_52
SRR5867642	col44l2_25
SRR5867643	col44l2_26
SRR5867644	col44l2_23
SRR5867645	col44l2_24
SRR5867646	col44l1_51
SRR5867647	col44l2_22
SRR5867648	col44l2_19
SRR5867649	col44l2_20
SRR5867650	col44l2_17
SRR5867651	col44l2_18
SRR5867652	col44l8_25
SRR5867653	col44l1_53
SRR5867654	col44l1_56
SRR5867655	col44l2_21
SRR5867656	col48l6_43
SRR5867657	col44l1_58
SRR5867658	col44l1_57
SRR5867659	col44l1_60
SRR5867660	col44l1_59
SRR5867661	col48l6_42
SRR5867662	col48l7_14
SRR5867663	col48l7_15
SRR5867664	col48l7_6
SRR5867665	col48l7_7
SRR5867666	col48l7_8
SRR5867667	col48l7_9
SRR5867668	col48l7_10
SRR5867669	col48l7_11
SRR5867670	col48l7_12
SRR5867671	col48l7_13
SRR5867672	col48l6_9
SRR5867673	col48l6_8
SRR5867674	col48l6_7
SRR5867675	col48l6_6
SRR5867676	col48l6_5
SRR5867677	col48l6_4
SRR5867678	col45l8_9
SRR5867679	col48l6_2
SRR5867680	col45l8_7
SRR5867681	col45l8_8
SRR5867682	col45l8_5
SRR5867683	col45l8_6
SRR5867684	col45l8_3
SRR5867685	col45l8_4
SRR5867686	col48l6_11
SRR5867687	col48l6_10
SRR5867688	col44l8_44
SRR5867689	col44l8_43
SRR5867690	col44l8_42
SRR5867691	col44l8_41
SRR5867692	col44l8_40
SRR5867693	col44l8_39
SRR5867694	col44l8_38
SRR5867695	col44l8_37
SRR5867696	col44l8_34
SRR5867697	col44l8_33
SRR5867698	col44l1_73
SRR5867699	col44l1_74
SRR5867700	col44l1_71
SRR5867701	col44l1_72
SRR5867702	col44l1_77
SRR5867703	col44l1_78
SRR5867704	col44l1_75
SRR5867705	col44l1_76
SRR5867706	col44l1_79
SRR5867707	col44l1_80
SRR5867708	col44l2_14
SRR5867709	col44l2_13
SRR5867710	col44l2_12
SRR5867711	col44l2_11
SRR5867712	col44l2_10
SRR5867713	col44l2_9
SRR5867714	col44l2_8
SRR5867715	col44l2_7
SRR5867716	col44l2_16
SRR5867717	col44l2_15
SRR5867718	col47l7_47
SRR5867719	col47l7_46
SRR5867720	col47l7_39
SRR5867721	col47l7_38
SRR5867722	col47l7_41
SRR5867723	col47l7_40
SRR5867724	col47l7_43
SRR5867725	col47l7_42
SRR5867726	col47l7_45
SRR5867727	col47l7_44
SRR5867728	col45l2_61
SRR5867729	col45l2_62
SRR5867730	col45l2_59
SRR5867731	col45l2_60
SRR5867732	col45l2_65
SRR5867733	col45l2_66
SRR5867734	col45l2_63
SRR5867735	col45l2_64
SRR5867736	col45l2_67
SRR5867737	col45l2_68
SRR5867738	col48l6_60
SRR5867739	col48l6_61
SRR5867740	col48l6_58
SRR5867741	col48l6_59
SRR5867742	col48l6_56
SRR5867743	col48l6_57
SRR5867744	col48l6_54
SRR5867745	col48l6_55
SRR5867746	col48l6_52
SRR5867747	col48l6_53
SRR5867748	col44l8_51
SRR5867749	col44l8_52
SRR5867750	col44l8_49
SRR5867751	col44l8_50
SRR5867752	col44l8_47
SRR5867753	col44l8_48
SRR5867754	col44l8_45
SRR5867755	col44l8_46
SRR5867756	col44l8_53
SRR5867757	col44l8_54
SRR5867758	col44l1_70
SRR5867759	col44l1_69
SRR5867760	col44l1_64
SRR5867761	col44l1_63
SRR5867762	col44l1_62
SRR5867763	col44l1_61
SRR5867764	col44l1_68
SRR5867765	col44l1_67
SRR5867766	col44l1_66
SRR5867767	col44l1_65
SRR5867768	col48l6_18
